@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
817,'2017/02/24 11:30:30:903',10,0,0,0,0,?,?,?
818,'2017/02/24 11:30:30:919',10,0,0,0,0,?,?,?
819,'2017/02/24 11:30:30:935',10,0,0,0,0,?,?,?
820,'2017/02/24 11:30:30:953',10,0,0,0,0,?,?,?
821,'2017/02/24 11:30:30:971',10,0,0,0,0,?,?,?
822,'2017/02/24 11:30:30:988',10,0,0,0,0,?,?,?
823,'2017/02/24 11:30:31:004',10,0,0,0,0,?,?,?
824,'2017/02/24 11:30:31:022',10,0,0,0,0,?,?,?
825,'2017/02/24 11:30:31:037',10,0,0,0,0,?,?,?
826,'2017/02/24 11:30:31:053',10,0,0,0,0,?,?,?
827,'2017/02/24 11:30:31:070',10,0,0,0,0,?,?,?
828,'2017/02/24 11:30:31:087',10,0,0,0,0,?,?,?
829,'2017/02/24 11:30:31:106',10,0,0,0,0,?,?,?
830,'2017/02/24 11:30:31:120',10,0,0,0,0,?,?,?
831,'2017/02/24 11:30:31:154',10,0,0,0,0,?,?,?
832,'2017/02/24 11:30:31:171',10,0.429094,0,0,0,?,?,?
833,'2017/02/24 11:30:31:187',10,0.429094,0,0,0,?,?,?
834,'2017/02/24 11:30:31:204',10,0.429094,0,0,0,?,?,?
835,'2017/02/24 11:30:31:222',10,0.429094,0,0,0,?,?,?
836,'2017/02/24 11:30:31:238',10,1.139741,0,0,0,?,?,?
837,'2017/02/24 11:30:31:254',10,1.139741,0,0,0,?,?,?
838,'2017/02/24 11:30:31:270',10,1.139741,0,0,0,?,?,?
839,'2017/02/24 11:30:31:287',10,1.139741,0,0,0,?,?,?
840,'2017/02/24 11:30:31:306',10,1.139741,0,0,0,?,?,?
841,'2017/02/24 11:30:31:324',10,1.29179,0,0,0,?,?,?
842,'2017/02/24 11:30:31:340',10,1.29179,0,0,0,?,?,?
843,'2017/02/24 11:30:31:356',10,1.356931,0,0,0,?,?,?
844,'2017/02/24 11:30:31:373',10,1.356931,0,0,0,?,?,?
845,'2017/02/24 11:30:31:389',10,1.356931,0,0,0,?,?,?
846,'2017/02/24 11:30:31:407',10,1.640241,0,0,0,?,?,?
847,'2017/02/24 11:30:31:437',10,1.640241,0,0,0,?,?,?
848,'2017/02/24 11:30:31:456',10,1.640241,0,0,0,?,?,?
849,'2017/02/24 11:30:31:471',10,1.777451,0,0,0,?,?,?
850,'2017/02/24 11:30:31:487',10,1.777451,0,0,0,?,?,?
851,'2017/02/24 11:30:31:505',10,1.850407,0,0,0,?,?,?
852,'2017/02/24 11:30:31:521',10,1.850407,0,0,0,?,?,?
853,'2017/02/24 11:30:31:538',10,1.850407,0,0,0,?,?,?
854,'2017/02/24 11:30:39:759',11,34.776062,0,0,0,?,?,?
855,'2017/02/24 11:30:39:777',11,34.776062,0,0,0,?,?,?
856,'2017/02/24 11:30:39:793',11,34.776062,0,0,0,?,?,?
857,'2017/02/24 11:30:39:810',11,34.698452,0,0,0,?,?,?
858,'2017/02/24 11:30:39:826',11,34.698452,0,0,0,?,?,?
859,'2017/02/24 11:30:39:844',11,34.698452,0,0,0,?,?,?
860,'2017/02/24 11:30:39:861',11,34.698452,0,0,0,?,?,?
861,'2017/02/24 11:30:39:879',11,34.685352,0,0,0,?,?,?
862,'2017/02/24 11:30:39:898',11,34.649868,0,0,0,?,?,?
863,'2017/02/24 11:30:39:913',11,34.649868,0,0,0,?,?,?
864,'2017/02/24 11:30:39:930',11,34.649868,0,0,0,?,?,?
865,'2017/02/24 11:30:39:946',11,34.649868,0,0,0,?,?,?
866,'2017/02/24 11:30:39:962',11,34.649868,0,0,0,?,?,?
867,'2017/02/24 11:30:39:979',11,34.649868,0,0,0,?,?,?
868,'2017/02/24 11:30:39:994',11,34.515022,0,0,0,?,?,?
869,'2017/02/24 11:30:40:012',11,34.505489,0,0,0,?,?,?
870,'2017/02/24 11:30:40:028',11,34.505489,0,0,0,?,?,?
871,'2017/02/24 11:30:40:044',11,21.942972,0,0,0,?,?,?
872,'2017/02/24 11:30:40:061',11,21.942972,0,0,0,?,?,?
873,'2017/02/24 11:30:40:076',11,21.942972,0,0,0,?,?,?
874,'2017/02/24 11:30:40:094',11,21.942972,0,0,0,?,?,?
875,'2017/02/24 11:30:40:112',11,18.405439,0,0,0,?,?,?
876,'2017/02/24 11:30:40:130',11,18.405439,0,0,0,?,?,?
877,'2017/02/24 11:30:40:148',11,14.220133,0,0,0,?,?,?
878,'2017/02/24 11:30:40:178',11,14.220133,0,0,0,?,?,?
879,'2017/02/24 11:30:40:195',11,13.488295,0,0,0,?,?,?
880,'2017/02/24 11:30:40:212',11,13.488295,0,0,0,?,?,?
881,'2017/02/24 11:30:40:229',11,13.488295,0,0,0,?,?,?
882,'2017/02/24 11:30:40:245',11,13.488295,0,0,0,?,?,?
883,'2017/02/24 11:30:40:262',11,13.130095,0,0,0,?,?,?
884,'2017/02/24 11:30:40:279',11,13.130095,0,0,0,?,?,?
885,'2017/02/24 11:30:40:296',11,12.596125,0,0,0,?,?,?
886,'2017/02/24 11:30:40:312',11,12.596125,0,0,0,?,?,?
887,'2017/02/24 11:30:40:328',11,12.596125,0,0,0,?,?,?
888,'2017/02/24 11:30:40:345',11,12.57909,0,0,0,?,?,?
889,'2017/02/24 11:30:40:361',11,12.57909,0,0,0,?,?,?
890,'2017/02/24 11:30:40:381',11,12.57909,0,0,0,?,?,?
891,'2017/02/24 11:30:40:397',11,12.57909,0,0,0,?,?,?
892,'2017/02/24 11:30:40:414',11,12.757642,0,0,0,?,?,?
893,'2017/02/24 11:30:40:429',11,12.757642,0,0,0,?,?,?
894,'2017/02/24 11:30:40:446',11,12.365891,0,0,0,?,?,?
895,'2017/02/24 11:30:40:461',11,12.365891,0,0,0,?,?,?
896,'2017/02/24 11:30:40:479',11,12.365891,0,0,0,?,?,?
897,'2017/02/24 11:30:40:495',11,12.717652,0,0,0,?,?,?
898,'2017/02/24 11:30:40:512',11,12.717652,0,0,0,?,?,?
899,'2017/02/24 11:30:40:528',11,12.717652,0,0,0,?,?,?
900,'2017/02/24 11:30:40:548',11,12.717652,0,0,0,?,?,?
901,'2017/02/24 11:30:40:563',11,12.906889,0,0,0,?,?,?
902,'2017/02/24 11:30:40:579',11,12.906889,0,0,0,?,?,?
903,'2017/02/24 11:30:40:596',11,11.598088,0,0,0,?,?,?
904,'2017/02/24 11:30:40:613',11,11.598088,0,0,0,?,?,?
905,'2017/02/24 11:30:40:629',11,11.598088,0,0,0,?,?,?
906,'2017/02/24 11:30:40:647',11,11.627192,0,0,0,?,?,?
907,'2017/02/24 11:30:40:663',11,11.627192,0,0,0,?,?,?
908,'2017/02/24 11:30:40:678',11,11.627192,0,0,0,?,?,?
909,'2017/02/24 11:30:40:697',11,11.627192,0,0,0,?,?,?
910,'2017/02/24 11:30:40:713',11,11.826718,0,0,0,?,?,?
911,'2017/02/24 11:30:40:730',11,11.826718,0,0,0,?,?,?
912,'2017/02/24 11:30:40:747',11,11.92648,0,0,0,?,?,?
913,'2017/02/24 11:30:40:763',11,11.92648,0,0,0,?,?,?
914,'2017/02/24 11:30:40:779',11,11.92648,0,0,0,?,?,?
915,'2017/02/24 11:30:40:797',11,11.992424,0,0,0,?,?,?
916,'2017/02/24 11:30:40:812',11,11.992424,0,0,0,?,?,?
917,'2017/02/24 11:30:40:829',11,11.992424,0,0,0,?,?,?
918,'2017/02/24 11:30:40:847',11,11.992424,0,0,0,?,?,?
919,'2017/02/24 11:30:40:866',11,11.94896,0,0,0,?,?,?
920,'2017/02/24 11:30:40:881',11,11.94896,0,0,0,?,?,?
921,'2017/02/24 11:30:40:897',11,11.879398,0,0,0,?,?,?
922,'2017/02/24 11:30:40:914',11,11.879398,0,0,0,?,?,?
923,'2017/02/24 11:30:40:930',11,11.879398,0,0,0,?,?,?
924,'2017/02/24 11:30:40:948',11,11.905029,0,0,0,?,?,?
925,'2017/02/24 11:30:40:964',11,11.905029,0,0,0,?,?,?
926,'2017/02/24 11:30:40:981',11,11.905029,0,0,0,?,?,?
927,'2017/02/24 11:30:40:997',11,11.905029,0,0,0,?,?,?
928,'2017/02/24 11:30:41:031',11,12.159615,0,0,0,?,?,?
929,'2017/02/24 11:30:41:063',11,11.512022,0,0,0,?,?,?
930,'2017/02/24 11:30:41:080',11,11.512022,0,0,0,?,?,?
931,'2017/02/24 11:30:41:097',11,11.349653,0,0,0,?,?,?
932,'2017/02/24 11:30:41:113',11,11.349653,0,0,0,?,?,?
933,'2017/02/24 11:30:41:130',11,11.349653,0,0,0,?,?,?
934,'2017/02/24 11:30:41:147',11,11.349653,0,0,0,?,?,?
935,'2017/02/24 11:30:41:164',11,10.40022,0,0,0,?,?,?
936,'2017/02/24 11:30:41:182',11,10.40022,0,0,0,?,?,?
937,'2017/02/24 11:30:41:198',11,10.40022,0,0,0,?,?,?
